ProductId,UPC
"UA_000570007102","000570007102"
"UA_000570208103","000570208103"
"UA_000570209100","000570209100"
"UA_000570962050","000570962050"
"UA_000570965815","000570965815"
"UA_000570965846","000570965846"
"UA_000578000013","000578000013"
"UA_000578000044","000578000044"
"UA_000578000051","000578000051"
"UA_000578000068","000578000068"
"UA_000578000075","000578000075"
"UA_000579000029","000579000029"
"UA_000579000050","000579000050"
"UA_000579000067","000579000067"
"UA_000579000074","000579000074"
"UA_000579000081","000579000081"
"UA_000579000098","000579000098"
"UA_000579000203","000579000203"
"UA_000579000302","000579000302"
"UA_000579000401","000579000401"
"UA_000579000500","000579000500"
"UA_000579000555","000579000555"
"UA_000579000609","000579000609"
"UA_000579000708","000579000708"
"UA_000579000807","000579000807"
"UA_000579000814","000579000814"
"UA_000579000906","000579000906"
"UA_000579030019","000579030019"
"UA_000579037551","000579037551"
"UA_000579375905","000579375905"
"UA_000579420001","000579420001"
"UA_000579515004","000579515004"
"UA_000579515011","000579515011"
"UA_000579515028","000579515028"
"UA_000579515035","000579515035"
"UA_000579515042","000579515042"
"UA_000662457143","000662457143"
"UA_000662738129","000662738129"
"UA_008054011102","008054011102"
"UA_008054011119","008054011119"
"UA_008054011126","008054011126"
"UA_008054011140","008054011140"
"UA_008054011157","008054011157"
"UA_008054011164","008054011164"
"UA_008054011171","008054011171"
"UA_008054011188","008054011188"
"UA_008054011201","008054011201"
"UA_008054011225","008054011225"
"UA_008054011256","008054011256"
"UA_008054011263","008054011263"
"UA_008054011294","008054011294"
"UA_008054011331","008054011331"
"UA_008054011386","008054011386"
"UA_008054012000","008054012000"
"UA_008054012017","008054012017"
"UA_008054012024","008054012024"
"UA_008054012048","008054012048"
"UA_008054012062","008054012062"
"UA_008054012079","008054012079"
"UA_008102110016","008102110016"
"UA_008102188039","008102188039"
"UA_008102197635","008102197635"
"UA_008102322341","008102322341"
"UA_008102365591","008102365591"
"UA_008122007624","008122007624"
"UA_008176194103","008176194103"
"UA_008176258355","008176258355"
"UA_008176393100","008176393100"
"UA_008176500003","008176500003"
"UA_008176602103","008176602103"
"UA_008176602202","008176602202"
"UA_008176602301","008176602301"
"UA_008176603001","008176603001"
"UA_008176700014","008176700014"
"UA_008176700403","008176700403"
"UA_008176700502","008176700502"
"UA_008176799520","008176799520"
"UA_008217001001","008217001001"
"UA_008217003005","008217003005"
"UA_008217005207","008217005207"
"UA_008217005306","008217005306"
"UA_008217005405","008217005405"
"UA_008217005702","008217005702"
"UA_008217007102","008217007102"
"UA_008217007201","008217007201"
"UA_008217007300","008217007300"
"UA_008261000210","008261000210"
"UA_008261010011","008261010011"
"UA_008261010103","008261010103"
"UA_008261021604","008261021604"
"UA_008261040315","008261040315"
"UA_008261060108","008261060108"
"UA_008261070107","008261070107"
"UA_008261071104","008261071104"
"UA_008261090310","008261090310"
"UA_008261110193","008261110193"
"UA_008261120314","008261120314"
"UA_008261960071","008261960071"
"UA_008261970056","008261970056"
"UA_008261970070","008261970070"
"UA_008261980079","008261980079"
"UA_008381100920","008381100920"
"UA_008381150963","008381150963"
"UA_008381160962","008381160962"
"UA_008381220932","008381220932"
"UA_008381251004","008381251004"
"UA_008381301945","008381301945"
"UA_008381400921","008381400921"
"UA_008381550039","008381550039"
"UA_008381600949","008381600949"
"UA_008381904931","008381904931"
"UA_008381955964","008381955964"
"UA_008463000315","008463000315"
"UA_008706233524","008706233524"
"UA_008706235528","008706235528"
"UA_008933990016","008933990016"
"UA_008933990030","008933990030"
"UA_008933990184","008933990184"
"UA_008933990207","008933990207"
"UA_009071100015","009071100015"
"UA_009071100022","009071100022"
"UA_009071100046","009071100046"
"UA_009071100053","009071100053"
"UA_009071100060","009071100060"
"UA_009071100077","009071100077"
"UA_009071100084","009071100084"
"UA_009071100107","009071100107"
"UA_009071100114","009071100114"
"UA_009071100169","009071100169"
"UA_009071100176","009071100176"
"UA_009071100190","009071100190"
"UA_009071100206","009071100206"
"UA_009071100220","009071100220"
"UA_009071100251","009071100251"
"UA_009071100268","009071100268"
"UA_009071200012","009071200012"
"UA_009071200036","009071200036"
"UA_009071200067","009071200067"
"UA_009071200074","009071200074"
"UA_009071200081","009071200081"
"UA_009273007006","009273007006"
"UA_009273017012","009273017012"
"UA_009273027011","009273027011"
"UA_009273037003","009273037003"
"UA_009273047002","009273047002"
"UA_009273047125","009273047125"
"UA_009273047132","009273047132"
"UA_009273077009","009273077009"
"UA_009273097892","009273097892"
"UA_009273127995","009273127995"
"UA_009273137116","009273137116"
"UA_009273137123","009273137123"
"UA_009273137130","009273137130"
"UA_009273137987","009273137987"
"UA_009273147993","009273147993"
"UA_009273155998","009273155998"
"UA_009273167007","009273167007"
"UA_009273177129","009273177129"
"UA_009273197066","009273197066"
"UA_009273197134","009273197134"
"UA_009273197141","009273197141"
"UA_009273207123","009273207123"
"UA_009273207130","009273207130"
"UA_009273227121","009273227121"
"UA_009273227138","009273227138"
"UA_009385100008","009385100008"
"UA_009385100015","009385100015"
"UA_009385100978","009385100978"
"UA_009385100985","009385100985"
"UA_009385100992","009385100992"
"UA_009385108004","009385108004"
"UA_009385108981","009385108981"
"UA_009385108998","009385108998"
"UA_009385109001","009385109001"
"UA_009385110007","009385110007"
"UA_009385110991","009385110991"
"UA_009385200968","009385200968"
"UA_009385200975","009385200975"
"UA_009385200982","009385200982"
"UA_009385200999","009385200999"
"UA_009385202559","009385202559"
"UA_009385202771","009385202771"
"UA_009385202801","009385202801"
"UA_009385205017","009385205017"
"UA_009385208001","009385208001"
"UA_009385208995","009385208995"
"UA_009385210950","009385210950"
"UA_009385210981","009385210981"
"UA_009385210998","009385210998"
"UA_009385290013","009385290013"
"UA_009385300965","009385300965"
"UA_009385300972","009385300972"
"UA_009385300989","009385300989"
"UA_009385300996","009385300996"
"UA_009385310957","009385310957"
"UA_009385310964","009385310964"
"UA_009385310988","009385310988"
"UA_009385310995","009385310995"
"UA_009385400009","009385400009"
"UA_009385400016","009385400016"
"UA_009385500013","009385500013"
"UA_009385600003","009385600003"
"UA_009385610019","009385610019"
"UA_009385660007","009385660007"
"UA_009385806016","009385806016"
"UA_009385901018","009385901018"
"UA_009385990012","009385990012"
"UA_009450031091","009450031091"
"UA_009450031190","009450031190"
"UA_009450031299","009450031299"
"UA_009460000018","009460000018"
"UA_009460000025","009460000025"
"UA_009460000032","009460000032"
"UA_009460000056","009460000056"
"UA_009460000063","009460000063"
"UA_009460000070","009460000070"
"UA_009460000087","009460000087"
"UA_009460000094","009460000094"
"UA_009460000100","009460000100"
"UA_009460000124","009460000124"
"UA_009460000131","009460000131"
"UA_009460000148","009460000148"
"UA_009460000155","009460000155"
"UA_009460000179","009460000179"
"UA_009460000247","009460000247"
"UA_009460000261","009460000261"
"UA_009460000285","009460000285"
"UA_009460000315","009460000315"
"UA_009460000322","009460000322"
"UA_009460000339","009460000339"
"UA_009460000377","009460000377"
"UA_009460000391","009460000391"
"UA_009460000551","009460000551"
"UA_009460002012","009460002012"
"UA_010006202452","010006202452"
"UA_010086100471","010086100471"
"UA_010086100921","010086100921"
"UA_010086101171","010086101171"
"UA_010086101300","010086101300"
"UA_010086101379","010086101379"
"UA_010086101386","010086101386"
"UA_010086101393","010086101393"
"UA_010086101416","010086101416"
"UA_010086101539","010086101539"
"UA_010086101782","010086101782"
"UA_010086101812","010086101812"
"UA_010086101850","010086101850"
"UA_010086101867","010086101867"
"UA_010086102000","010086102000"
"UA_010086102505","010086102505"
"UA_010086102529","010086102529"
"UA_010086103403","010086103403"
"UA_010086103410","010086103410"
"UA_010086103434","010086103434"
"UA_010086103441","010086103441"
"UA_010086103458","010086103458"
"UA_010086103717","010086103717"
"UA_010086103823","010086103823"
"UA_010086103830","010086103830"
"UA_010086103847","010086103847"
"UA_010086103854","010086103854"
"UA_010086104035","010086104035"
"UA_010086105360","010086105360"
"UA_010242120015","010242120015"
"UA_010242120022","010242120022"
"UA_010242120190","010242120190"
"UA_010242120251","010242120251"
"UA_010242120268","010242120268"
"UA_010465008909","010465008909"
"UA_010465109002","010465109002"
"UA_010465109019","010465109019"
"UA_010465119605","010465119605"
"UA_010465139306","010465139306"
"UA_010465208507","010465208507"
"UA_010465208903","010465208903"
"UA_010465208910","010465208910"
"UA_010465208927","010465208927"
"UA_010465218902","010465218902"
"UA_010465228802","010465228802"
"UA_010465228901","010465228901"
"UA_010465229502","010465229502"
"UA_010465229908","010465229908"
"UA_010465238900","010465238900"
"UA_010465329011","010465329011"
"UA_010465349101","010465349101"
"UA_010465449412","010465449412"
"UA_010465500403","010465500403"
"UA_010465520500","010465520500"
"UA_010465530509","010465530509"
"UA_010465709400","010465709400"
"UA_010465709509","010465709509"
"UA_010465709608","010465709608"
"UA_010465709622","010465709622"
"UA_010465809209","010465809209"
"UA_010465819208","010465819208"
"UA_010465829009","010465829009"
"UA_010465829023","010465829023"
"UA_010465839107","010465839107"
"UA_010465849601","010465849601"
"UA_010465869302","010465869302"
"UA_010465909008","010465909008"
"UA_010642111484","010642111484"
"UA_010642400144","010642400144"
"UA_010642402124","010642402124"
"UA_010986000017","010986000017"
"UA_010986000024","010986000024"
"UA_010986002219","010986002219"
"UA_010986002226","010986002226"
"UA_010986002509","010986002509"
"UA_010986002516","010986002516"
"UA_010986002608","010986002608"
"UA_010986002615","010986002615"
"UA_010986002653","010986002653"
"UA_010986002707","010986002707"
"UA_010986002806","010986002806"
"UA_010986002813","010986002813"
"UA_010986002905","010986002905"
"UA_010986002912","010986002912"
"UA_010986003032","010986003032"
"UA_010986003056","010986003056"
"UA_010986003063","010986003063"
"UA_010986003087","010986003087"
"UA_010986003094","010986003094"
"UA_010986003629","010986003629"
"UA_010986004084","010986004084"
"UA_010986005029","010986005029"
"UA_010986006026","010986006026"
"UA_010986006125","010986006125"
"UA_010986006224","010986006224"
"UA_010986007634","010986007634"
"UA_010986007641","010986007641"
"UA_010986007900","010986007900"
"UA_010986010016","010986010016"
"UA_010986010023","010986010023"
"UA_010986010030","010986010030"
"UA_010986010047","010986010047"
"UA_010986010054","010986010054"
"UA_010986010061","010986010061"
"UA_010986010078","010986010078"
"UA_010986010085","010986010085"
"UA_010986010092","010986010092"
"UA_010986010108","010986010108"
"UA_010986010122","010986010122"
"UA_010986010139","010986010139"
"UA_010986092067","010986092067"
"UA_011011011022","011011011022"
"UA_011011011244","011011011244"
"UA_011034500008","011034500008"
"UA_011034500039","011034500039"
"UA_011034500046","011034500046"
"UA_011034500053","011034500053"
"UA_011034500077","011034500077"
"UA_011034500091","011034500091"
"UA_011034500121","011034500121"
"UA_011034500138","011034500138"
"UA_011034500282","011034500282"
"UA_011034500350","011034500350"
"UA_011034500374","011034500374"
"UA_011034500381","011034500381"
"UA_011034501005","011034501005"
"UA_011034501012","011034501012"
"UA_011034501029","011034501029"
"UA_011034503801","011034503801"
"UA_011034503818","011034503818"
"UA_011034503825","011034503825"
"UA_011034503832","011034503832"
"UA_011034515408","011034515408"
"UA_011034981043","011034981043"
"UA_011152038582","011152038582"
"UA_011152844879","011152844879"
"UA_011373000580","011373000580"
"UA_011373000597","011373000597"
"UA_011373000603","011373000603"
"UA_011373000627","011373000627"
"UA_011373000634","011373000634"
"UA_011373001006","011373001006"
"UA_011373001792","011373001792"
"UA_011373003482","011373003482"
"UA_011373003703","011373003703"
"UA_011373006452","011373006452"
"UA_011408000134","011408000134"
"UA_011408000158","011408000158"
"UA_011408000165","011408000165"
"UA_011408000189","011408000189"
"UA_011408000219","011408000219"
"UA_011408000226","011408000226"
"UA_011408000240","011408000240"
"UA_011408000271","011408000271"
"UA_011408000325","011408000325"
"UA_011408000356","011408000356"
"UA_011408000387","011408000387"
"UA_011422001117","011422001117"
"UA_011422002114","011422002114"
"UA_011443220313","011443220313"
"UA_011443220320","011443220320"
"UA_011443220405","011443220405"
"UA_011443220412","011443220412"
"UA_011443220429","011443220429"
"UA_011443220443","011443220443"
"UA_011443220450","011443220450"
"UA_011443220481","011443220481"
"UA_011443250570","011443250570"
"UA_011443260104","011443260104"
"UA_011443260111","011443260111"
"UA_011443260128","011443260128"
"UA_011443260135","011443260135"
"UA_011443260142","011443260142"
"UA_011443260159","011443260159"
"UA_011443260166","011443260166"
"UA_011443260173","011443260173"
"UA_011443260227","011443260227"
