000150000035,000150000035_CF_HopBullet__JPEG_3.JPG,D:/infville/data/images-core/000150000035_CF_HopBullet__JPEG_3.JPG
00011034006586,00011034006586_CF__GS1_JPEG.jpg,D:/infville/data/images-core/00011034006586_CF__GS1_JPEG.jpg
011034006593,011034006593_CF___JPEG_3.JPG,D:/infville/data/images-core/011034006593_CF___JPEG_3.JPG
011034410031,011034410031_CL___JPEG_3.JPG,D:/infville/data/images-core/011034410031_CL___JPEG_3.JPG
011034410048,011034410048_CL___JPEG_3.JPG,D:/infville/data/images-core/011034410048_CL___JPEG_3.JPG
011034410055,011034410055_CF___JPEG_3.JPG,D:/infville/data/images-core/011034410055_CF___JPEG_3.JPG
011034410079,011034410079_CL___JPEG_3.JPG,D:/infville/data/images-core/011034410079_CL___JPEG_3.JPG
011034420030,011034420030_CL___JPEG_3.JPG,D:/infville/data/images-core/011034420030_CL___JPEG_3.JPG
011034420047,011034420047_CL___JPEG_3.JPG,D:/infville/data/images-core/011034420047_CL___JPEG_3.JPG
011034420054,011034420054_CF___JPEG_3.JPG,D:/infville/data/images-core/011034420054_CF___JPEG_3.JPG
011034420078,011034420078_CL___JPEG_3.JPG,D:/infville/data/images-core/011034420078_CL___JPEG_3.JPG
011034430046,011034430046_CL___JPEG_3.JPG,D:/infville/data/images-core/011034430046_CL___JPEG_3.JPG
011034430053,011034430053_CF___JPEG_3.JPG,D:/infville/data/images-core/011034430053_CF___JPEG_3.JPG
011034500008,011034500008_CF___JPEG_3.JPG,D:/infville/data/images-core/011034500008_CF___JPEG_3.JPG
011034500039,011034500039_CF___JPEG_3.JPG,D:/infville/data/images-core/011034500039_CF___JPEG_3.JPG
011034500053,011034500053_CF___JPEG_3.JPG,D:/infville/data/images-core/011034500053_CF___JPEG_3.JPG
011034500077,011034500077_CF___JPEG_3.JPG,D:/infville/data/images-core/011034500077_CF___JPEG_3.JPG
011034501005,011034501005_CF___JPEG_3.JPG,D:/infville/data/images-core/011034501005_CF___JPEG_3.JPG
011034501012,011034501012_CF___JPEG_3.JPG,D:/infville/data/images-core/011034501012_CF___JPEG_3.JPG
00011034501029,00011034501029_CL__GS1_JPEG.jpg,D:/infville/data/images-core/00011034501029_CL__GS1_JPEG.jpg
011034503801,011034503801_CF___JPEG_3.JPG,D:/infville/data/images-core/011034503801_CF___JPEG_3.JPG
