ProductId,UPC
"UA_018200079863","018200079863"
"UA_018200110306","018200110306"
"UA_018200110474","018200110474"
"UA_018200111686","018200111686"
"UA_018200112188","018200112188"
"UA_018200113086","018200113086"
"UA_018200113499","018200113499"
"UA_034100572433","034100572433"
"UA_034100572563","034100572563"
"UA_034100573126","034100573126"
"UA_034100573409","034100573409"
"UA_034100573416","034100573416"
"UA_034100575052","034100575052"
"UA_034100575090","034100575090"
"UA_034100576325","034100576325"
"UA_011034500039","011034500039"
"UA_011034500053","011034500053"
"UA_011034500077","011034500077"
"UA_011034501005","011034501005"
"UA_011034501012","011034501012"
"UA_011034501029","011034501029"
"UA_011034503801","011034503801"
"UA_011034503818","011034503818"
"UA_011034503825","011034503825"
"UA_011034503832","011034503832"
"UA_089744335852","089744335852"
"UA_098709088504","098709088504"
"UA_098709088535","098709088535"
"UA_098709088580","098709088580"
"UA_098709088603","098709088603"
"UA_080480000127","080480000127"
"UA_080480005221","080480005221"
"UA_080480005245","080480005245"
"UA_080480005252","080480005252"
"UA_080480005269","080480005269"
"UA_080480005276","080480005276"
"UA_080480005283","080480005283"
"UA_080480015206","080480015206"
"UA_080480015305","080480015305"
"UA_080480015329","080480015329"
"UA_080480015404","080480015404"
"UA_080480015459","080480015459"
"UA_080480015602","080480015602"
"UA_080480015701","080480015701"
"UA_080480015800","080480015800"
"UA_080480016210","080480016210"
"UA_080480230005","080480230005"
"UA_080480230012","080480230012"
"UA_080480231002","080480231002"
"UA_080480231019","080480231019"
"UA_080480280000","080480280000"
"UA_080480280017","080480280017"
"UA_080480280024","080480280024"
"UA_080480280031","080480280031"
"UA_080480280048","080480280048"
"UA_080480280055","080480280055"
"UA_080480984403","080480984403"
"UA_080480984410","080480984410"
"UA_080480984427","080480984427"
"UA_087116014633","087116014633"
"UA_087116014657","087116014657"
"UA_087116014664","087116014664"
"UA_087116014671","087116014671"
"UA_087116014701","087116014701"
"UA_087116014749","087116014749"
